,itemcode,item_desc,FoodName_3,wt,N_HH,Edible portion
61,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"european anchovy, fresh, raw",0.073000349,646,NA
62,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"naked catfishes, fillet, fresh, raw",0.073000349,646,NA
63,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"upsidedown catfishes, fillet, fresh, raw",0.073000349,646,NA
64,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"north african catfish, fillet, fresh, raw",0.073000349,646,0.40
65,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"nile perch, fillet, fresh, raw",0.073000349,646,0.69
66,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"tilapias nei, fillet, fresh, raw",0.073000349,646,0.58
67,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"barracudas nei, fillet, fresh, raw",0.073010052,646,NA
68,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"seerfishes nei, fillet, fresh, raw",0.073010052,646,NA
69,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"sardinellas nei, fillet, fresh, raw",0.073010052,646,NA
70,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"true tunas nei, fillet, fresh, raw",0.073010052,646,0.58
71,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"sardines, fresh, raw",0.187720728,646,0.60
72,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"prawns, fresh, raw",0.005161641,646,0.51
73,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"octopuses, raw",0.002444988,646,NA
74,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"squids, raw",0.001629992,646,NA
75,809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),"cyprinid, silver, dried, raw",0.667550127,459,NA
76,809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),"fish, dried, raw",0.104440347,459,1.00
77,809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),"nile perc, dried, raw",0.104440347,459,0.65
78,809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),"cyprinid, silver, dried, raw",0.104440347,459,NA
79,809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),"shrimp, whole, dried, raw",0.017515557,459,1.00
80,809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),"sardines, tinned",0.001613275,459,0.82
81,110,"BUNS, CAKES AND BISCUITS",buns,0.426586326,453,1.00
82,110,"BUNS, CAKES AND BISCUITS",scones,0.426586326,453,1.00
83,110,"BUNS, CAKES AND BISCUITS","biscuit, savoury",0.043285785,453,1.00
84,110,"BUNS, CAKES AND BISCUITS","biscuits, sweet, plain",0.043285785,453,1.00
85,110,"BUNS, CAKES AND BISCUITS","cake, plain butter",0.012051156,453,1.00
86,110,"BUNS, CAKES AND BISCUITS","cake, fruit",0.012051156,453,1.00
87,110,"BUNS, CAKES AND BISCUITS","cake, sponge, homemade",0.012051156,453,1.00
88,110,"BUNS, CAKES AND BISCUITS","cake, sponge, without fat",0.012051156,453,1.00
89,110,"BUNS, CAKES AND BISCUITS","cake, iced",0.012051156,453,1.00
90,802,BEEF INCLUDING MINCED SAUSAGE,"beef, lean, without bones, fresh, raw",0.305726188,420,0.90
91,802,BEEF INCLUDING MINCED SAUSAGE,"beef, moderate fat, without bones, fresh, raw",0.305726188,420,0.90
92,802,BEEF INCLUDING MINCED SAUSAGE,"beef, high fat, without bones, fresh, raw",0.305726188,420,0.85
93,802,BEEF INCLUDING MINCED SAUSAGE,"beef, lean, without bones, fresh, raw",0.024782885,420,0.90
94,802,BEEF INCLUDING MINCED SAUSAGE,"beef, moderate fat, without bones, fresh, raw",0.024782885,420,0.90
95,802,BEEF INCLUDING MINCED SAUSAGE,"beef, high fat, without bones, fresh, raw",0.024782885,420,0.85
96,802,BEEF INCLUDING MINCED SAUSAGE,"beef liver, fresh, raw",0.007837323,420,0.99
97,802,BEEF INCLUDING MINCED SAUSAGE,"beef, sausage, raw",0.000635459,420,1.00
98,702,"CITRUS FRUITS (ORANGES, LEMON, TANGERINES, ETC.)","oranges, raw",0.477435897,375,0.73
99,702,"CITRUS FRUITS (ORANGES, LEMON, TANGERINES, ETC.)","lemons, raw",0.228717949,375,0.66
100,702,"CITRUS FRUITS (ORANGES, LEMON, TANGERINES, ETC.)","limes, raw",0.215897436,375,0.70
101,702,"CITRUS FRUITS (ORANGES, LEMON, TANGERINES, ETC.)","kumquats, fresh, raw",0.051282051,375,NA
102,702,"CITRUS FRUITS (ORANGES, LEMON, TANGERINES, ETC.)","tangerines, raw",0.018974359,375,0.75
103,702,"CITRUS FRUITS (ORANGES, LEMON, TANGERINES, ETC.)","grapefruits, raw",0.007692308,375,0.56
104,502,COCONUTS (MATURE/IMMATURE),"coconut, mature, fresh, raw",0.963338534,374,0.48
105,502,COCONUTS (MATURE/IMMATURE),"coconut, inmature, fresh, raw",0.036661466,374,1.00
106,703,"MANGOES, AVOCADOES AND OTHER FRUITS","mangoes, unripe, fresh, raw",0.14549588,349,0.72
107,703,"MANGOES, AVOCADOES AND OTHER FRUITS","mangoes, ripe, fresh, raw",0.14549588,349,0.72
108,703,"MANGOES, AVOCADOES AND OTHER FRUITS","avocados, raw",0.238988349,349,0.71
109,703,"MANGOES, AVOCADOES AND OTHER FRUITS","watermelon, fresh, raw",0.092924126,349,0.64
110,703,"MANGOES, AVOCADOES AND OTHER FRUITS","pineapple, raw",0.08667235,349,0.68
111,703,"MANGOES, AVOCADOES AND OTHER FRUITS","soursop, fruit, fresh, raw",0.086104007,349,0.72
112,703,"MANGOES, AVOCADOES AND OTHER FRUITS","indian jujubes, raw",0.018755328,349,0.93
113,703,"MANGOES, AVOCADOES AND OTHER FRUITS","baobab fruits, raw",0.018755328,349,0.23
114,703,"MANGOES, AVOCADOES AND OTHER FRUITS","jackfruit, fresh, raw",0.018755328,349,0.23
115,703,"MANGOES, AVOCADOES AND OTHER FRUITS","passion fruit, dark purple skin, fresh, raw",0.018755328,349,0.52
116,703,"MANGOES, AVOCADOES AND OTHER FRUITS","loquat, fresh, raw",0.02514919,349,0.75
117,703,"MANGOES, AVOCADOES AND OTHER FRUITS",NA,0.02514919,349,NA
118,703,"MANGOES, AVOCADOES AND OTHER FRUITS","guavas, raw",0.026427962,349,1.00
119,703,"MANGOES, AVOCADOES AND OTHER FRUITS","jackfruit, fresh, raw",0.019607843,349,NA
120,703,"MANGOES, AVOCADOES AND OTHER FRUITS","pear, fresh, raw",0.011082694,349,0.85
121,703,"MANGOES, AVOCADOES AND OTHER FRUITS","passion fruit, dark purple skin, fresh, raw",0.006251776,349,NA
122,703,"MANGOES, AVOCADOES AND OTHER FRUITS",NA,0.004546746,349,NA
123,703,"MANGOES, AVOCADOES AND OTHER FRUITS","apples, raw",0.003978403,349,0.90
124,703,"MANGOES, AVOCADOES AND OTHER FRUITS","peaches, fresh, raw",0.002273373,349,0.88
125,703,"MANGOES, AVOCADOES AND OTHER FRUITS","strawberries, fresh, raw",0.002273373,349,0.96
126,703,"MANGOES, AVOCADOES AND OTHER FRUITS","grapes, raw",0.001420858,349,0.95
127,703,"MANGOES, AVOCADOES AND OTHER FRUITS","squashes, butternut, raw",0.001136687,349,0.85
128,203,SWEET POTATOES,"sweet potato, pale yellow flesh, fresh, raw",0.5,335,0.92
129,203,SWEET POTATOES,"sweet potato, white-flesh, raw",0.5,335,0.84
130,901,FRESH MILK,"milk, cow, whole, raw",0.923225495,262,1.00
131,901,FRESH MILK,"milk, cow, whole, raw",0.025108643,262,1.00
132,901,FRESH MILK,"camel milk, fresh",0.007886689,262,1.00
133,901,FRESH MILK,"goat milk, fresh",0.007886689,262,1.00
134,901,FRESH MILK,"sheep milk, fresh",0.007886689,262,1.00
135,901,FRESH MILK,"milk, cow, skimmed, raw",0.011588605,262,1.00
136,901,FRESH MILK,"milk flavoured, chocolate",0.003621439,262,1.00
137,901,FRESH MILK,"milk flavoured, strawberry, banana",0.003621439,262,1.00
138,901,FRESH MILK,"milk flavoured, chocolate",0.00313858,262,1.00
139,901,FRESH MILK,"milk flavoured, strawberry, banana",0.00313858,262,1.00
140,901,FRESH MILK,"milk, cow, skimmed, raw",0.002897151,262,1.00
141,109,BREAD,"bread, wheat flour, refined",0.559059633,228,1.00
142,109,BREAD,"bread, wheat flour, refined",0.066513761,228,1.00
143,109,BREAD,"bread, wheat flour, unrefined",0.066513761,228,1.00
144,109,BREAD,"bread, wheat flour, refined",0.098050459,228,1.00
145,109,BREAD,"chapati, wheat flour, unrefined, added ghee",0.029051988,228,1.00
146,109,BREAD,"chapati, wheat flour, unrefined",0.029051988,228,1.00
147,109,BREAD,"chapati, wheat flour, refined",0.029051988,228,1.00
148,109,BREAD,"dough, fried",0.061926606,228,1.00
149,109,BREAD,"bread, wheat flour, unrefined",0.047018349,228,1.00
150,109,BREAD,"bread, sweet, wheat flour, refined",0.013761468,228,1.00
151,1081,WHEAT FLOUR,"wheat flour, unrefined",0.5,216,1.00
152,1081,WHEAT FLOUR,"wheat flour, refined",0.5,216,1.00
153,501,GROUNDNUTS IN SHELL/SHELLED,"peanuts, shelled, dried, raw",0.444184687,214,1.00
154,501,GROUNDNUTS IN SHELL/SHELLED,"peanuts, shelled, dried, raw",0.324956166,214,1.00
155,501,GROUNDNUTS IN SHELL/SHELLED,"peanuts, shelled, dried, raw",0.230859147,214,1.00
156,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","water, drinking, bottled",0.643386243,211,1.00
157,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","water, drinking, bottled",0.149559083,211,1.00
158,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","lemon, juice, homemade",0.019135802,211,1.00
159,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","lime, juice",0.019135802,211,1.00
160,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","passion fruit, juice",0.019135802,211,1.00
161,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",NA,0.019135802,211,NA
162,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","juices, canned bottled, sweetened",0.007956104,211,1.00
163,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","juices, canned bottled, unsweetened",0.007956104,211,1.00
164,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","beverages, cranberry-apple juice drink, bottled",0.007956104,211,1.00
165,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","beverages, cranberry-apricot juice drink, bottled",0.007956104,211,1.00
166,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","beverages, cranberry-grape juice drink, bottled",0.007956104,211,1.00
167,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","beverages, grape juice drink, canned",0.007956104,211,1.00
168,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","beverages, orange and apricot juice drink, canned",0.007956104,211,1.00
169,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","beverages, pineapple and grapefruit juice drink, canned",0.007956104,211,1.00
170,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","beverages, pineapple and orange juice drink, canned",0.007956104,211,1.00
171,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","sugar sweetned beverage, cola",0.057848325,211,1.00
172,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","tomato, juice",0.000529101,211,1.00
173,1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)","carrot, juice",0.000529101,211,1.00
174,804,CHICKEN AND OTHER POULTRY,"chicken meat, fresh, raw",0.543357934,206,0.65
175,804,CHICKEN AND OTHER POULTRY,"duck, meat and skin, fresh, raw",0.154520295,206,1.00
176,804,CHICKEN AND OTHER POULTRY,"guinea-fowl meat, fresh, raw",0.154520295,206,1.00
177,804,CHICKEN AND OTHER POULTRY,"chicken meat, fresh, raw",0.119926199,206,0.65
178,804,CHICKEN AND OTHER POULTRY,"chicken meat, fresh, raw",0.02398524,206,0.65
179,804,CHICKEN AND OTHER POULTRY,"chicken meat, fresh, raw",0.003690037,206,0.65
180,202,CASSAVA DRY/FLOUR,NA,0.557608696,186,NA
181,202,CASSAVA DRY/FLOUR,"cassava, root, white, dried, raw",0.221195652,186,0.95
182,202,CASSAVA DRY/FLOUR,"cassava, root, sweet, dried, raw",0.221195652,186,0.93
183,1004,OTHER SPICES,turmeric roots,0.117089125,153,1.00
184,1004,OTHER SPICES,mixed spices,0.117089125,153,1.00
185,1004,OTHER SPICES,"fenugreek, dried, raw",0.117089125,153,1.00
186,1004,OTHER SPICES,"moringa, leaves, raw",0.117089125,153,1.00
187,1004,OTHER SPICES,"stock cube, beef",0.117089125,153,1.00
188,1004,OTHER SPICES,"ginger, fresh, raw",0.166394113,153,1.00
189,1004,OTHER SPICES,"ginger, dried, powder",0.166394113,153,1.00
190,1004,OTHER SPICES,curry powder,0.081766149,153,1.00
191,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","yoghurt, cow milk, plain",0.265036865,110,1.00
192,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","yoghurt, cow milk, skimmed, plain",0.265036865,110,1.00
193,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","yoghurt, cow milk, skimmed, sweetened",0.265036865,110,1.00
194,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","cream, cow milk, 35%",0.155995343,110,1.00
195,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","cheese, cow milk, cheddar",0.004656577,110,1.00
196,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","cheese, cow milk, skimmed, cottage",0.004656577,110,1.00
197,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","cheese, cow milk, whole, cottage",0.004656577,110,1.00
198,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","cheese, cow milk, cottage",0.004656577,110,1.00
199,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","milk fermented, industrial",0.008731083,110,1.00
200,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","milk fermented, traditional",0.008731083,110,1.00
201,902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)","cream, cow milk, 35%",0.012805588,110,1.00
202,111,"MACARONI, SPAGHETTI","pasta, dried, raw",0.954545455,106,1.00
203,111,"MACARONI, SPAGHETTI","pasta, macaroni, wheat, dried, raw",0.045454545,106,1.00
204,204,YAMS/COCOYAMS,"yams, raw",0.333333333,99,0.81
205,204,YAMS/COCOYAMS,"cocoyam, white, fresh, raw",0.333333333,99,0.81
206,204,YAMS/COCOYAMS,"yam, chinese yam,""ichoimo"", tuberous root, raw",0.333333333,99,NA
207,104,MAIZE (GRAIN),"maize, grain, white, dried, raw",0.97005988,97,1.00
208,104,MAIZE (GRAIN),"maize, grain, yellow, dried, raw",0.02994012,97,1.00
209,107,MILLET AND SORGHUM (FLOUR),"sorghum, red, flour raw",0.294594595,89,1.00
210,107,MILLET AND SORGHUM (FLOUR),NA,0.294594595,89,1.00
211,107,MILLET AND SORGHUM (FLOUR),"millet, pearl, flour, raw",0.205405405,89,1.00
212,107,MILLET AND SORGHUM (FLOUR),"millet, finger, flour,raw",0.205405405,89,1.00
213,303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS","jam, mixed fruit",0.322834646,88,1.00
214,303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS",honey,0.251968504,88,1.00
215,303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS","syrup, sugar cane",0.236220472,88,1.00
216,303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS","pinneaple, canned",0.11023622,88,1.00
217,303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS","jam, mixed fruit",0.047244094,88,1.00
218,303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS","jam, mixed fruit",0.023622047,88,1.00
219,303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS","jam, mixed fruit",0.007874016,88,1.00
220,801,GOAT MEAT,"goat, lean, fresh, raw",0.5,86,0.71
221,801,GOAT MEAT,"goat, medium fat, fresh, raw",0.5,86,0.74
222,603,"CANNED, DRIED AND WILD VEGETABLES","blackjack leaves, raw",0.125347375,84,NA
223,603,"CANNED, DRIED AND WILD VEGETABLES","spider plant, leaves, fresh, raw",0.125347375,84,0.28
224,603,"CANNED, DRIED AND WILD VEGETABLES","taro leaves, fresh, raw",0.125347375,84,0.60
225,603,"CANNED, DRIED AND WILD VEGETABLES","malabar spinach, leaves, fresh, raw",0.125347375,84,NA
226,603,"CANNED, DRIED AND WILD VEGETABLES","moringa, leaves, raw",0.125347375,84,NA
227,603,"CANNED, DRIED AND WILD VEGETABLES","black nightshade, leaves, fresh, raw",0.125347375,84,0.52
228,603,"CANNED, DRIED AND WILD VEGETABLES","mushroom, dried, raw",0.020440252,84,1.00
229,603,"CANNED, DRIED AND WILD VEGETABLES","baobab, leaves, dried, raw",0.020440252,84,1.00
230,603,"CANNED, DRIED AND WILD VEGETABLES","bay, leaves, dried, raw",0.020440252,84,1.00
231,603,"CANNED, DRIED AND WILD VEGETABLES","cowpea, leaves, dried, raw",0.020440252,84,0.59
232,603,"CANNED, DRIED AND WILD VEGETABLES","false sesame, leaves, dried, raw",0.020440252,84,NA
233,603,"CANNED, DRIED AND WILD VEGETABLES","jute mallow, leaves, dried, raw",0.020440252,84,0.48
234,603,"CANNED, DRIED AND WILD VEGETABLES","okra, fruit, dried, raw",0.020440252,84,0.74
235,603,"CANNED, DRIED AND WILD VEGETABLES","onion, dried, raw",0.020440252,84,1.00
236,603,"CANNED, DRIED AND WILD VEGETABLES","pumpkin, leaves, dried, raw",0.020440252,84,0.82
237,603,"CANNED, DRIED AND WILD VEGETABLES","sicklepod, leaves, dried, raw",0.020440252,84,1.00
238,603,"CANNED, DRIED AND WILD VEGETABLES","tamarind, leaves, dried, raw",0.020440252,84,1.00
239,603,"CANNED, DRIED AND WILD VEGETABLES","thyme, dried, raw",0.020440252,84,1.00
240,603,"CANNED, DRIED AND WILD VEGETABLES",canned mushrooms,0.001316367,84,1.00
241,603,"CANNED, DRIED AND WILD VEGETABLES","tomatoes, whole, tinned",0.001316367,84,1.00
242,803,PORK INCLUDING SAUSAGES AND BACON,"pig meat, without bones, fresh, raw",0.560885609,49,1.00
243,803,PORK INCLUDING SAUSAGES AND BACON,"pig meat, without bones, fresh, raw",0.405904059,49,1.00
244,803,PORK INCLUDING SAUSAGES AND BACON,"pork, sausage, raw",0.025830258,49,1.00
245,803,PORK INCLUDING SAUSAGES AND BACON,bacon rashers,0.007380074,49,1.00
246,1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",ghee,0.280542986,41,1.00
247,1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",margarine,0.280542986,41,1.00
248,1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",shortening,0.208144796,41,1.00
249,1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",NA,0.180995475,41,1.00
250,1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",ghee,0.049773756,41,1.00
251,112,OTHER CEREAL PRODUCTS,"teff grain, dried, unrefined, raw",0.5,15,1.00
252,112,OTHER CEREAL PRODUCTS,"amaranth, grain, dried, raw",0.5,15,1.00
253,503,"CASHEW, ALMONDS AND OTHER NUTS",cashew nuts,0.64,12,1.00
254,503,"CASHEW, ALMONDS AND OTHER NUTS","almond, raw",0.12,12,1.00
255,503,"CASHEW, ALMONDS AND OTHER NUTS",macadamias,0.12,12,1.00
256,503,"CASHEW, ALMONDS AND OTHER NUTS","pistachio, raw",0.12,12,1.00
257,1102,COFFEE AND COCOA,"coffee, instant powder",0.46969697,11,1.00
258,1102,COFFEE AND COCOA,coffee beverages,0.242424242,11,1.00
259,1102,COFFEE AND COCOA,"coffee, instant powder",0.196969697,11,1.00
260,1102,COFFEE AND COCOA,cocoa powder,0.075757576,11,1.00
261,1102,COFFEE AND COCOA,cocoa powder,0.015151515,11,1.00
262,903,CANNED MILK/MILK POWDER,"milk, cow, full-fat, powder",0.783783784,10,1.00
263,903,CANNED MILK/MILK POWDER,"milk, cow, canned, condensed, whole, sweetened",0.081081081,10,1.00
264,903,CANNED MILK/MILK POWDER,"milk, cow, canned, condensed, skimmed, sweetened",0.081081081,10,1.00
265,903,CANNED MILK/MILK POWDER,"infant formula, 3 months, fortified",0.027027027,10,1.00
266,903,CANNED MILK/MILK POWDER,"infant formula, 6 months, fortified",0.027027027,10,1.00
