psu,hhno,n_member,hhsize,hh_sample_weight,headname,hhldsex,dist,urbrur,vdcmun,tole,ward,ea,fmlymemb,memb5,totmemb
5002,8,4,4,1318.328491,confidential,1,2,2,0,khalde,9,0,4,4,4
5002,9,4,4,1318.328491,confidential,1,2,2,0,tallo khalde,9,0,4,2,4
5002,10,5,5,1318.328491,confidential,1,2,2,0,khalde,9,0,5,4,5
5002,11,5,5,1318.328491,confidential,1,2,2,0,khalde,9,0,5,5,5
5002,12,4,4,1318.328491,confidential,1,2,2,0,khalde,9,0,4,4,4
5002,13,6,6,1318.328491,confidential,1,2,2,0,khalde,9,0,6,3,6
5002,14,7,7,1318.328491,confidential,2,2,2,0,khalde,9,0,7,7,7
5002,15,9,9,1318.328491,confidential,1,2,2,0,khalde,9,0,9,9,9
5003,1,1,1,1318.328491,confidential,2,3,2,0,chiyabari,3,0,1,1,1
5003,2,2,2,1318.328491,confidential,1,3,2,0,Sukepokhari,3,0,2,2,2
5003,3,3,3,1318.328491,confidential,1,3,2,0,chiyabari,3,0,3,3,3
5003,4,3,3,1318.328491,confidential,1,3,2,0,Chiyabari,3,0,3,3,3
5003,5,3,3,1318.328491,confidential,1,3,2,0,laxmipur,3,0,3,3,3
5003,6,3,3,1318.328491,confidential,1,3,2,0,laxmipur,3,0,3,3,3
5003,7,4,4,1318.328491,confidential,1,3,2,0,Doctor Gaun,3,0,4,4,4
5003,8,4,4,1318.328491,confidential,1,3,2,0,Chiyabari,3,0,4,4,4
5003,9,4,4,1318.328491,confidential,1,3,2,0,Ghodawalagaun,3,0,4,4,4
5003,10,4,4,1318.328491,confidential,1,3,2,0,Khundruke,3,0,4,4,4
5003,11,4,4,1318.328491,confidential,1,3,2,0,Darnal Gaun,3,0,4,3,4
5003,12,5,5,1318.328491,confidential,1,3,2,0,Chiyabari,3,0,5,5,5
5003,13,5,5,1318.328491,confidential,1,3,2,0,laxmupur,3,0,5,5,5
5003,14,6,6,1318.328491,confidential,1,3,2,0,Khundruke,3,0,6,5,6
5003,15,7,7,1318.328491,confidential,1,3,2,0,Khundruke,3,0,7,6,7
5004,1,2,2,1318.328491,confidential,1,3,2,0,puchar gaun,1,0,2,2,2
5004,2,2,2,1318.328491,confidential,2,3,2,0,lumdegaun,1,0,2,1,2
5004,3,2,2,1318.328491,confidential,1,3,2,0,danda gaun,1,0,2,2,2
5004,4,3,3,1318.328491,confidential,1,3,2,0,lumde gaun,1,0,3,3,3
5004,5,3,3,1318.328491,confidential,1,3,2,0,Puchhar Gaun,1,0,3,3,3
5004,6,3,3,1318.328491,confidential,2,3,2,0,Danda Gaun,1,0,3,2,3
5004,7,3,3,1318.328491,confidential,2,3,2,0,Gairegaun,1,0,3,3,3
5004,8,4,4,1318.328491,confidential,1,3,2,0,lumde gaun,1,0,4,4,4
5004,9,4,4,1318.328491,confidential,1,3,2,0,dandagaun,1,0,4,4,4
5004,10,4,4,1318.328491,confidential,1,3,2,0,dandagau,1,0,4,3,4
5004,11,4,4,1318.328491,confidential,1,3,2,0,gairigaun,1,0,4,3,4
5004,12,5,5,1318.328491,confidential,2,3,2,0,lumde puchar gaun,1,0,5,4,5
5004,13,5,5,1318.328491,confidential,1,3,2,0,danda gaun,1,0,5,3,5
5004,14,5,5,1318.328491,confidential,1,3,2,0,puchar gaun,1,0,5,4,5
5004,15,6,6,1318.328491,confidential,1,3,2,0,gairigaun,1,0,6,6,6
5005,1,2,2,1092.279541,confidential,1,3,1,0,sabjung,1,0,2,2,2
5005,2,3,3,1092.279541,confidential,1,3,1,0,sabjung,1,0,3,3,3
5005,3,3,3,1092.279541,confidential,1,3,1,0,sabjung,1,0,3,3,3
5005,4,4,4,1092.279541,confidential,1,3,1,0,sabjung,1,0,4,3,4
5005,5,4,4,1092.279541,confidential,1,3,1,0,sabjung,1,0,4,4,4
5005,6,4,4,1092.279541,confidential,1,3,1,0,sabjun,1,0,4,4,4
5005,7,4,4,1092.279541,confidential,1,3,1,0,sabjung,1,0,4,4,4
5005,8,4,4,1092.279541,confidential,1,3,1,0,sabjung,1,0,4,4,4
5005,9,5,5,1092.279541,confidential,1,3,1,0,sabjung,1,0,5,5,5
5005,10,5,5,1092.279541,confidential,1,3,1,0,sabjung,1,0,5,5,5
5005,11,5,5,1092.279541,confidential,1,3,1,0,sabjung,1,0,5,5,5
5005,12,6,6,1092.279541,confidential,1,3,1,0,sabjung,1,0,6,6,6
5005,13,6,6,1092.279541,confidential,1,3,1,0,satjung,1,0,6,6,6
5005,14,7,7,1092.279541,confidential,1,3,1,0,Satjung,1,0,7,7,7
5005,15,10,10,1092.279541,confidential,1,3,1,0,Satjung,1,0,10,9,10
5006,1,2,2,1318.328491,confidential,1,3,2,0,,4,0,2,2,2
5006,2,2,2,1318.328491,confidential,1,3,2,0,Lapasebote,4,0,2,2,2
5006,3,3,3,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,3,3,3
5006,4,3,3,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,3,3,3
5006,5,3,3,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,3,3,3
5006,6,4,4,1318.328491,confidential,2,3,2,0,Lapsebote,4,0,4,4,4
5006,7,4,4,1318.328491,confidential,1,3,2,0,Lapse bote,4,0,4,4,4
5006,8,4,4,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,4,3,4
5006,9,4,4,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,4,4,4
5006,10,4,4,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,4,4,4
5006,11,5,5,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,5,5,5
5006,12,5,5,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,5,5,5
5006,13,6,6,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,6,5,6
5006,14,7,7,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,7,6,7
5006,15,8,8,1318.328491,confidential,1,3,2,0,Lapsebote,4,0,8,6,8
5007,1,1,1,1092.279541,confidential,2,4,1,0,Syaldagi,5,0,1,1,1
5007,2,2,2,1092.279541,confidential,1,4,1,0,Syaldangi,5,0,2,2,2
5007,3,3,3,1092.279541,confidential,1,4,1,0,Belgachhi,5,0,3,3,5
5007,4,3,3,1092.279541,confidential,1,4,1,0,Syaldangi,5,0,3,3,3
5007,5,3,3,1092.279541,confidential,1,4,1,0,Syaldangi,5,0,3,3,3
5007,6,4,4,1092.279541,confidential,1,4,1,0,Syaldangi,5,0,4,4,4
5007,7,4,4,1092.279541,confidential,1,4,1,0,Syaldangi,5,0,4,4,4
5007,8,4,4,1092.279541,confidential,1,4,1,0,Tadabilahari,5,0,4,4,4
5007,9,4,4,1092.279541,confidential,1,4,1,0,Shitalnagar,5,0,4,4,4
5007,10,5,5,1092.279541,confidential,1,4,1,0,Belgachhi,5,0,5,5,7
5007,11,5,5,1092.279541,confidential,1,4,1,0,Syadangi,5,0,5,4,5
5007,12,5,5,1092.279541,confidential,1,4,1,0,Syaldangi,5,0,5,5,5
5007,13,6,6,1092.279541,confidential,1,4,1,0,Syaldangi,5,0,6,5,6
5007,14,6,6,1092.279541,confidential,1,4,1,0,Shitalnagar,5,0,6,6,6
5007,15,7,7,1092.279541,confidential,1,4,1,0,Syaldangi,5,0,7,6,7
5008,1,2,2,1092.279541,confidential,2,4,1,0,Pipal chowk,2,0,2,2,2
5008,2,2,2,1092.279541,confidential,1,4,1,0,,2,0,2,2,2
5008,3,3,3,1092.279541,confidential,2,4,1,0,Mildada,2,0,3,3,3
5008,4,3,3,1092.279541,confidential,2,4,1,0,Mil danda,2,0,3,3,3
5008,5,3,3,1092.279541,confidential,2,4,1,0,Mill danda,2,0,3,2,3
5008,6,4,4,1092.279541,confidential,1,4,1,0,dada gaun,2,0,4,4,4
5008,7,4,4,1092.279541,confidential,2,4,1,0,Mildanda,2,0,4,4,4
5008,8,4,4,1092.279541,confidential,1,4,1,0,,2,0,4,4,4
5008,9,4,4,1092.279541,confidential,1,4,1,0,,2,0,4,4,4
5008,10,5,5,1092.279541,confidential,2,4,1,0,danda gaun,2,0,5,4,5
5008,11,5,5,1092.279541,confidential,2,4,1,0,Arjun dhara,2,0,5,5,5
5008,12,5,5,1092.279541,confidential,1,4,1,0,Mill danda,2,0,5,4,5
5008,13,5,5,1092.279541,confidential,2,4,1,0,Pipalchowk,2,0,5,5,5
5008,14,6,6,1092.279541,confidential,1,4,1,0,Mill danda,2,0,6,4,6
5008,15,8,8,1092.279541,confidential,1,4,1,0,Danda gaun,2,0,8,8,8
5009,1,1,1,1092.279541,confidential,1,4,1,0,Damak tol,10,0,1,1,1
5009,2,2,2,1092.279541,confidential,2,4,1,0,Damaktol,10,0,2,2,2
5009,3,2,2,1092.279541,confidential,1,4,1,0,Damak tol,10,0,2,2,2
5009,4,2,2,1092.279541,confidential,1,4,1,0,Damak Bazar,10,0,2,2,2
5009,5,3,3,1092.279541,confidential,1,4,1,0,Damak Bazar,10,0,3,2,3
5009,6,3,3,1092.279541,confidential,2,4,1,0,Damak Bazar,10,0,3,3,3
5009,7,3,3,1092.279541,confidential,2,4,1,0,Damak Bazar,10,0,3,1,3
5009,8,4,4,1092.279541,confidential,1,4,1,0,Damak Bazar,10,0,4,4,4
5009,9,4,4,1092.279541,confidential,2,4,1,0,Damak Bazar,10,0,4,4,4
5009,10,4,4,1092.279541,confidential,1,4,1,0,Damak Bazar,10,0,4,4,4
5009,11,4,4,1092.279541,confidential,1,4,1,0,Damak Bazar,10,0,4,3,4
5009,12,5,5,1092.279541,confidential,1,4,1,0,Damak Bazar,10,0,5,5,5
5009,13,5,5,1092.279541,confidential,2,4,1,0,Damak Bazar,10,0,5,3,5
5009,14,6,6,1092.279541,confidential,2,4,1,0,Damak Bazar,10,0,6,6,6
5009,15,7,7,1092.279541,confidential,1,4,1,0,Damak Bazar,10,0,7,7,7
5010,1,2,2,1318.328491,confidential,2,4,2,0,Khalbari,2,0,2,2,3
5010,2,3,3,1318.328491,confidential,2,4,2,0,Khopbari,2,0,3,2,4
5010,3,3,3,1318.328491,confidential,2,4,2,0,Khopbari,2,0,3,3,3
5010,4,3,3,1318.328491,confidential,1,4,2,0,Khalbari,2,0,3,3,3
5010,5,4,4,1318.328491,confidential,1,4,2,0,Khopbari,2,0,4,3,5
5010,6,4,4,1318.328491,confidential,1,4,2,0,Khopbari,2,0,4,4,4
5010,7,4,4,1318.328491,confidential,1,4,2,0,Bahragaun,2,0,4,4,4
5010,8,4,4,1318.328491,confidential,2,4,2,0,Bahraghare,2,0,4,4,4
5010,9,5,5,1318.328491,confidential,2,4,2,0,Khopbari,2,0,5,4,7
5010,10,5,5,1318.328491,confidential,1,4,2,0,Khalbari,2,0,5,4,5
5010,11,5,5,1318.328491,confidential,1,4,2,0,Bahraghare,2,0,5,5,5
5010,12,6,6,1318.328491,confidential,1,4,2,0,Khopbari,2,0,6,5,6
5010,13,6,6,1318.328491,confidential,1,4,2,0,Bahraghare,2,0,6,6,6
5010,14,7,7,1318.328491,confidential,1,4,2,0,Khalbari,2,0,7,6,7
5010,15,10,10,1318.328491,confidential,1,4,2,0,Khalbari,2,0,10,9,10
5011,1,1,1,1318.328491,confidential,2,4,2,0,Dheki tole,8,0,1,1,1
5011,2,2,2,1318.328491,confidential,2,4,2,0,,8,0,2,1,2
5011,3,2,2,1318.328491,confidential,1,4,2,0,,8,0,2,2,2
5011,4,4,4,1318.328491,confidential,1,4,2,0,,8,0,4,4,4
5011,5,3,3,1318.328491,confidential,1,4,2,0,,8,0,3,3,3
5011,6,3,3,1318.328491,confidential,2,4,2,0,Sayepatri tole,8,0,3,3,3
5011,7,4,4,1318.328491,confidential,2,4,2,0,,8,0,4,4,4
5011,8,4,4,1318.328491,confidential,1,4,2,0,,8,0,4,2,4
5011,9,4,4,1318.328491,confidential,1,4,2,0,,8,0,4,4,4
5011,10,5,5,1318.328491,confidential,1,4,2,0,,8,0,5,5,5
5011,11,5,5,1318.328491,confidential,1,4,2,0,Tallo Telghhari,8,0,5,5,5
5011,12,5,5,1318.328491,confidential,1,4,2,0,,8,0,5,5,5
5011,13,6,6,1318.328491,confidential,1,4,2,0,telkani,8,0,6,6,6
5011,14,7,7,1318.328491,confidential,1,4,2,0,,8,0,7,6,7
5011,15,8,8,1318.328491,confidential,1,4,2,0,,8,0,8,8,8
5012,1,2,2,1318.328491,confidential,2,4,2,0,Sombare,6,0,2,1,2
5012,2,2,2,1318.328491,confidential,1,4,2,0,Ghadabhada,6,0,2,2,2
5012,3,3,3,1318.328491,confidential,1,4,2,0,Sombare,6,0,3,3,3
5012,4,3,3,1318.328491,confidential,1,4,2,0,Magartol,6,0,3,2,3
5012,5,3,3,1318.328491,confidential,2,4,2,0,Tappu gau,6,0,3,3,3
5012,6,4,4,1318.328491,confidential,1,4,2,0,Sombare,6,0,4,4,4
5012,7,4,4,1318.328491,confidential,1,4,2,0,Ghadmaara,6,0,4,4,4
5012,8,4,4,1318.328491,confidential,1,4,2,0,Baniyavitra,6,0,4,4,4
5012,9,5,5,1318.328491,confidential,1,4,2,0,Sombare,6,0,5,4,5
5012,10,5,5,1318.328491,confidential,1,4,2,0,Mildada,6,0,5,3,5
5012,11,5,5,1318.328491,confidential,2,4,2,0,Baniya Bhida,6,0,5,5,5
5012,12,5,5,1318.328491,confidential,1,4,2,0,Tappu gau,6,0,5,4,5
5012,13,6,6,1318.328491,confidential,1,4,2,0,Baniya Bhitta,6,0,6,6,6
5012,14,7,7,1318.328491,confidential,1,4,2,0,Jurelibas,6,0,7,6,7
5012,15,9,9,1318.328491,confidential,2,4,2,0,Sombare,6,0,9,7,9
5013,1,1,1,1092.279541,confidential,2,4,1,0,Doramari,6,0,1,1,1
5013,2,2,2,1092.279541,confidential,1,4,1,0,Doramari,6,0,2,2,2
5013,3,2,2,1092.279541,confidential,1,4,1,0,Doramari,6,0,2,2,2
5013,4,3,3,1092.279541,confidential,2,4,1,0,Doramari,6,0,3,3,3
5013,5,3,3,1092.279541,confidential,2,4,1,0,Doramari,6,0,3,3,3
5013,6,4,4,1092.279541,confidential,1,4,1,0,Doramari,6,0,4,4,4
5013,7,4,4,1092.279541,confidential,1,4,1,0,Doramari,6,0,4,4,4
5013,8,4,4,1092.279541,confidential,1,4,1,0,Dhardhare,6,0,4,4,4
5013,9,4,4,1092.279541,confidential,2,4,1,0,Dhardhare,6,0,4,4,4
5013,10,5,5,1092.279541,confidential,1,4,1,0,Doramari,6,0,5,5,5
5013,11,5,5,1092.279541,confidential,1,4,1,0,Dhardhare,6,0,5,5,5
5013,12,5,5,1092.279541,confidential,1,4,1,0,Manakamana,6,0,5,5,5
5013,13,6,6,1092.279541,confidential,1,4,1,0,Dhardhare,6,0,6,6,6
5013,14,7,7,1092.279541,confidential,1,4,1,0,Doramari,6,0,7,6,7
5013,15,8,8,1092.279541,confidential,1,4,1,0,Doramari,6,0,8,8,8
5014,1,2,2,1092.279541,confidential,2,4,1,0,Badri tole,10,0,2,2,2
5014,2,2,2,1092.279541,confidential,1,4,1,0,NabaJoty,10,0,2,2,2
5014,3,3,3,1092.279541,confidential,1,4,1,0,Nakalbanda,10,0,3,3,3
5014,4,3,3,1092.279541,confidential,2,4,1,0,Nakalbanda,10,0,3,3,3
5014,5,3,3,1092.279541,confidential,1,4,1,0,Nabajoty,10,0,3,3,3
5014,6,3,3,1092.279541,confidential,2,4,1,0,Mechi danda,10,0,3,2,3
5014,7,4,4,1092.279541,confidential,1,4,1,0,Badri tole,10,0,4,4,4
5014,8,4,4,1092.279541,confidential,1,4,1,0,Karmachandra tole,10,0,4,4,4
5014,9,4,4,1092.279541,confidential,1,4,1,0,Nabajoty,10,0,4,4,4
5014,10,4,4,1092.279541,confidential,2,4,1,0,Pragati tole,10,0,4,3,4
5014,11,5,5,1092.279541,confidential,1,4,1,0,,10,0,5,4,5
5014,12,5,5,1092.279541,confidential,2,4,1,0,Gadari gau,10,0,5,5,5
5014,13,6,6,1092.279541,confidential,1,4,1,0,Badritole,10,0,6,6,6
5014,14,6,6,1092.279541,confidential,2,4,1,0,Mechi Danda,10,0,6,4,6
5014,15,7,7,1092.279541,confidential,2,4,1,0,Bahundangi Marga,10,0,7,7,7
5015,1,1,1,1318.328491,confidential,1,4,2,0,janata chowk,4,0,1,1,1
5015,2,2,2,1318.328491,confidential,1,4,2,0,Khainadubba,4,0,2,2,2
5015,3,3,3,1318.328491,confidential,2,4,2,0,janata chowk,4,0,3,3,3
5015,4,3,3,1318.328491,confidential,1,4,2,0,Barhadasi,4,0,3,3,3
5015,5,3,3,1318.328491,confidential,1,4,2,0,motapani,4,0,3,3,3
5015,6,4,4,1318.328491,confidential,1,4,2,0,janata chowk,4,0,4,4,4
5015,7,4,4,1318.328491,confidential,1,4,2,0,janata chowk,4,0,4,4,4
5015,8,4,4,1318.328491,confidential,1,4,2,0,Prahari bit chowk,4,0,4,3,4
5015,9,4,4,1318.328491,confidential,1,4,2,0,rawadi,4,0,4,3,4
5015,10,5,5,1318.328491,confidential,1,4,2,0,Khiya dubba,4,0,5,4,5
5015,11,5,5,1318.328491,confidential,1,4,2,0,Janata chowk,4,0,5,5,5
5015,12,5,5,1318.328491,confidential,2,4,2,0,motapani,4,0,5,5,5
5015,13,6,6,1318.328491,confidential,1,4,2,0,kisan gaun,4,0,6,5,6
5015,14,6,6,1318.328491,confidential,1,4,2,0,kishan gaun,4,0,6,6,6
5015,15,7,7,1318.328491,confidential,1,4,2,0,motapani,4,0,7,5,7
5016,1,1,1,1092.279541,confidential,2,4,1,0,Jhiljhile bazar,6,0,1,1,1
5016,2,2,2,1092.279541,confidential,1,4,1,0,Jhiljhile,6,0,2,2,2
5016,3,2,2,1092.279541,confidential,2,4,1,0,,6,0,2,2,2
5016,4,3,3,1092.279541,confidential,2,4,1,0,Jhiljhile,6,0,3,3,3
5016,5,3,3,1092.279541,confidential,2,4,1,0,,6,0,3,2,3
5016,6,3,3,1092.279541,confidential,1,4,1,0,,6,0,3,2,3
5016,7,4,4,1092.279541,confidential,1,4,1,0,Jhiljhile,6,0,4,3,4
5016,8,4,4,1092.279541,confidential,1,4,1,0,Jhiljhile,6,0,4,4,4
5016,9,4,4,1092.279541,confidential,1,4,1,0,,6,0,4,3,4
5016,10,4,4,1092.279541,confidential,2,4,1,0,,6,0,4,3,4
5016,11,5,5,1092.279541,confidential,2,4,1,0,Jhiljhile,6,0,5,3,5
5016,12,5,5,1092.279541,confidential,1,4,1,0,Jhiljhile,6,0,5,5,5
5016,13,5,5,1092.279541,confidential,1,4,1,0,,6,0,5,5,5
5016,14,6,6,1092.279541,confidential,1,4,1,0,,6,0,6,6,6
5016,15,7,7,1092.279541,confidential,1,4,1,0,,6,0,7,6,7
5017,1,1,1,1318.328491,confidential,2,5,2,0,Sombare,2,0,1,1,1
5017,2,2,2,1318.328491,confidential,2,5,2,0,jaruwa toli,2,0,2,2,2
5017,3,3,3,1318.328491,confidential,1,5,2,0,Banaul,2,0,3,2,3
5017,4,3,3,1318.328491,confidential,2,5,2,0,Banaul,2,0,3,3,4
5017,5,3,3,1318.328491,confidential,1,5,2,0,Sombare,2,0,3,3,3
5017,6,3,3,1318.328491,confidential,1,5,2,0,Banaul Jaruwa,2,0,3,3,3
5017,7,4,4,1318.328491,confidential,1,5,2,0,jaruwa Toli,2,0,4,4,4
5017,8,5,5,1318.328491,confidential,2,5,2,0,Sombare,2,0,5,5,5
5017,9,4,4,1318.328491,confidential,2,5,2,0,Banaul jaruwa Tole,2,0,4,3,4
5017,10,5,5,1318.328491,confidential,1,5,2,0,Jaruwa Toli,2,0,5,5,5
5017,11,5,5,1318.328491,confidential,2,5,2,0,Somebare,2,0,5,5,5
5017,12,5,5,1318.328491,confidential,1,5,2,0,Jarayo Tole,2,0,5,5,5
5017,13,6,6,1318.328491,confidential,1,5,2,0,jarayo Tole,2,0,6,5,7
5017,14,6,6,1318.328491,confidential,1,5,2,0,Banaul Jaruwa Tole,2,0,6,5,6
5017,15,7,7,1318.328491,confidential,1,5,2,0,Banaul Jaruwa Tole,2,0,7,7,7
5018,1,1,1,1092.279541,confidential,1,5,1,0,lalbhiti,4,0,1,1,1
5018,2,2,2,1092.279541,confidential,2,5,1,0,Bhetghat chowk,4,0,2,2,2
5018,3,2,2,1092.279541,confidential,1,5,1,0,Gautam tole,4,0,2,2,2
5018,4,3,3,1092.279541,confidential,2,5,1,0,shinhadevi dada,4,0,3,3,3
5018,5,3,3,1092.279541,confidential,1,5,1,0,Gautam tole,4,0,3,3,3
5018,6,3,3,1092.279541,confidential,1,5,1,0,lalbhitti,4,0,3,3,3
5018,7,4,4,1092.279541,confidential,1,5,1,0,chudamani marga,4,0,4,3,4
5018,8,4,4,1092.279541,confidential,1,5,1,0,Ramite gaun,4,0,4,4,4
5018,9,4,4,1092.279541,confidential,1,5,1,0,Gautam tole,4,0,4,4,4
5018,10,4,4,1092.279541,confidential,1,5,1,0,lalbhiti,4,0,4,4,4
5018,11,5,5,1092.279541,confidential,2,5,1,0,laxmi chowk,4,0,5,4,5
5018,12,5,5,1092.279541,confidential,2,5,1,0,Gautam tole,4,0,5,5,5
5018,13,5,5,1092.279541,confidential,1,5,1,0,Gautam tole,4,0,5,5,5
5018,14,6,6,1092.279541,confidential,1,5,1,0,,4,0,6,5,6
5018,15,6,6,1092.279541,confidential,1,5,1,0,lalbhiti,4,0,6,6,6
5019,1,1,1,1108.466675,confidential,2,5,1,0,Dharmabhakta Road,10,0,1,1,1
5019,2,2,2,1108.466675,confidential,2,5,1,0,Biratnagar Bazar,10,0,2,2,2
5019,3,2,2,1108.466675,confidential,1,5,1,0,Biratnagar,10,0,2,2,2
5019,4,3,3,1108.466675,confidential,2,5,1,0,Tilikompurba,10,0,3,2,3
5019,5,3,3,1108.466675,confidential,1,5,1,0,Milanchok,10,0,3,3,3
5019,6,3,3,1108.466675,confidential,1,5,1,0,Sanihat tol,10,0,3,2,3
5019,7,3,3,1108.466675,confidential,1,5,1,0,Diwakar Marga,10,0,3,3,3
5019,8,4,4,1108.466675,confidential,1,5,1,0,Dharmabhakta road,10,0,4,3,4
5019,9,4,4,1108.466675,confidential,1,5,1,0,Biratnagar,10,0,4,4,4
5019,10,4,4,1108.466675,confidential,1,5,1,0,Biratnagar,10,0,4,4,4
5019,11,4,4,1108.466675,confidential,1,5,1,0,Biratnagar,10,0,4,4,4
5019,12,5,5,1108.466675,confidential,1,5,1,0,Milanchok,10,0,5,5,5
5019,13,5,5,1108.466675,confidential,2,5,1,0,Gaheli tol,10,0,5,5,5
5019,14,6,6,1108.466675,confidential,1,5,1,0,Biratnagar,10,0,6,5,6
5019,15,8,8,1108.466675,confidential,2,5,1,0,Gahelitol,10,0,8,8,8
5020,1,1,1,1108.466675,confidential,2,5,1,0,Biratnagar,16,0,1,1,1
5020,2,2,2,1108.466675,confidential,2,5,1,0,Biratnagar,16,0,2,2,2
5020,3,3,3,1108.466675,confidential,1,5,1,0,Talim kendra,16,0,3,3,3
5020,4,3,3,1108.466675,confidential,2,5,1,0,Shainik tol,16,0,3,3,3
5020,5,3,3,1108.466675,confidential,2,5,1,0,Talimkendra,16,0,3,3,3
5020,6,3,3,1108.466675,confidential,2,5,1,0,Shainik tol,16,0,3,2,3
5020,7,4,4,1108.466675,confidential,1,5,1,0,Shanik tol,16,0,4,4,4
5020,8,4,4,1108.466675,confidential,1,5,1,0,Shainiktol,16,0,4,2,4
5020,9,4,4,1108.466675,confidential,1,5,1,0,Shainik tol,16,0,4,4,4
5020,10,5,5,1108.466675,confidential,1,5,1,0,Talimkendra,16,0,5,3,5
5020,11,5,5,1108.466675,confidential,2,5,1,0,Talim kendra,16,0,5,5,5
5020,12,5,5,1108.466675,confidential,1,5,1,0,,16,0,5,4,5
5020,13,6,6,1108.466675,confidential,1,5,1,0,Shainik tol,16,0,6,5,6
5020,14,6,6,1108.466675,confidential,1,5,1,0,Shainik tole,16,0,6,6,6
5020,15,8,8,1108.466675,confidential,1,5,1,0,Shainiktole,16,0,8,8,8
5021,1,3,3,1108.466675,confidential,2,5,1,0,Jatuwa,18,0,3,3,3
5021,2,4,4,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,4,4,4
5021,3,4,4,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,4,4,4
5021,4,4,4,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,4,4,4
5021,5,4,4,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,4,4,4
5021,6,5,5,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,5,5,5
5021,7,5,5,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,5,4,5
5021,8,5,5,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,5,5,5
5021,9,6,6,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,6,6,6
5021,10,6,6,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,6,5,6
5021,11,7,7,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,7,5,7
5021,12,7,7,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,7,6,7
5021,13,7,7,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,7,7,7
5021,14,8,8,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,8,7,8
5021,15,11,11,1108.466675,confidential,1,5,1,0,Jatuwa,18,0,11,8,11
5022,1,2,2,1318.328491,confidential,2,5,1,0,,4,0,2,1,2
5022,2,3,3,1318.328491,confidential,1,5,1,0,,4,0,3,3,3
5022,3,3,3,1318.328491,confidential,1,5,1,0,,4,0,3,3,3
5022,4,4,4,1318.328491,confidential,1,5,1,0,,4,0,4,2,4
5022,5,4,4,1318.328491,confidential,1,5,1,0,Daulatpur,4,0,4,3,4
