hhid,code,consumed,source,Category,province,residence_type
Q5Jy-Ax5e-HxjF-WTDH,409,yes,purchased,Vegetables,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,411,yes,purchased,Vegetables,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,504,yes,purchased,Meat,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,509,yes,purchased,Meat,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,512,yes,gifted,Fish,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,515,yes,ownproduced,Meat,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,601,yes,gifted,Fruits,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,602,yes,ownproduced,Fruits,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,604,yes,gifted,Fruits,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,607,yes,gifted,Fruits,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,703,yes,gifted,Fats & oils,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,705,yes,purchased,Milk & milk products,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,803,yes,ownproduced,Fats & oils,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,810,yes,purchased,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,811,yes,gifted,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,812,yes,gifted,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,814,yes,purchased,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,815,yes,gifted,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,820,yes,purchased,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,821,yes,ownproduced,Roots & tubers,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,825,yes,gifted,Meat,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,829,yes,gifted,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,830,yes,ownproduced,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,834,yes,purchased,Legumes & nuts,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,838,yes,ownproduced,Roots & tubers,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,901,yes,ownproduced,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,902,yes,ownproduced,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,903,yes,purchased,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,904,yes,gifted,Sugary foods/beverages,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,907,yes,gifted,Sugary foods/beverages,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,909,yes,ownproduced,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,911,yes,gifted,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,916,yes,ownproduced,Miscellaneous,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,5021,yes,gifted,Fish,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,5031,yes,ownproduced,Fish,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,5122,yes,purchased,Fish,Mashonaland West,Rural
j6eB-NPFx-sK3N-7AbU,101,yes,purchased,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,102,yes,ownproduced,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,104,yes,purchased,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,105,yes,purchased,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,110,yes,purchased,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,111,yes,purchased,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,114,yes,ownproduced,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,115,yes,purchased,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,116,yes,purchased,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,202,yes,purchased,Roots & tubers,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,203,yes,ownproduced,Roots & tubers,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,204,yes,ownproduced,Roots & tubers,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,209,yes,purchased,Roots & tubers,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,302,yes,gifted,Legumes & nuts,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,307,yes,ownproduced,Legumes & nuts,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,311,yes,ownproduced,Legumes & nuts,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,402,yes,purchased,Vegetables,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,403,yes,gifted,Vegetables,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,404,yes,ownproduced,Vegetables,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,405,yes,ownproduced,Vegetables,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,408,yes,ownproduced,Vegetables,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,409,yes,ownproduced,Vegetables,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,410,yes,ownproduced,Vegetables,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,412,yes,ownproduced,Vegetables,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,505,yes,purchased,Meat,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,506,yes,gifted,Meat,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,509,yes,purchased,Meat,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,511,yes,purchased,Meat,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,512,yes,gifted,Fish,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,514,yes,ownproduced,Fish,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,515,yes,gifted,Meat,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,601,yes,purchased,Fruits,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,603,yes,gifted,Fruits,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,604,yes,gifted,Fruits,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,605,yes,gifted,Fruits,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,609,yes,ownproduced,Fruits,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,706,yes,purchased,Milk & milk products,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,708,yes,gifted,Milk & milk products,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,709,yes,gifted,Milk & milk products,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,802,yes,ownproduced,Miscellaneous,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,803,yes,gifted,Fats & oils,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,804,yes,ownproduced,Sugary foods/beverages,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,811,yes,purchased,Miscellaneous,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,815,yes,gifted,Miscellaneous,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,817,yes,gifted,Sugary foods/beverages,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,821,yes,gifted,Roots & tubers,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,823,yes,gifted,Eggs,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,824,yes,purchased,Meat,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,825,yes,gifted,Meat,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,826,yes,gifted,Fish,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,831,yes,ownproduced,Roots & tubers,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,832,yes,ownproduced,Roots & tubers,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,835,yes,purchased,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,836,yes,ownproduced,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,838,yes,ownproduced,Roots & tubers,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,904,yes,ownproduced,Sugary foods/beverages,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,906,yes,ownproduced,Sugary foods/beverages,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,907,yes,purchased,Sugary foods/beverages,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,910,yes,purchased,Cereals,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,911,yes,ownproduced,Miscellaneous,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,914,yes,purchased,Miscellaneous,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,915,yes,purchased,Miscellaneous,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,5022,yes,ownproduced,Fish,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,5031,yes,gifted,Fish,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,5032,yes,purchased,Fish,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,5033,yes,ownproduced,Fish,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,5121,yes,ownproduced,Fish,Matabeleland North,Rural
j6eB-NPFx-sK3N-7AbU,5122,yes,purchased,Fish,Matabeleland North,Rural
cQUi-Qhgh-DAQT-f5Bw,101,yes,ownproduced,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,102,yes,gifted,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,104,yes,gifted,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,107,yes,gifted,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,108,yes,purchased,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,109,yes,gifted,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,111,yes,purchased,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,114,yes,purchased,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,117,yes,purchased,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,201,yes,ownproduced,Roots & tubers,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,203,yes,gifted,Roots & tubers,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,205,yes,gifted,Roots & tubers,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,209,yes,ownproduced,Roots & tubers,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,301,yes,gifted,Legumes & nuts,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,307,yes,purchased,Legumes & nuts,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,309,yes,purchased,Legumes & nuts,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,310,yes,ownproduced,Legumes & nuts,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,311,yes,gifted,Legumes & nuts,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,403,yes,purchased,Vegetables,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,406,yes,gifted,Vegetables,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,408,yes,ownproduced,Vegetables,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,410,yes,purchased,Vegetables,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,411,yes,ownproduced,Vegetables,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,412,yes,gifted,Vegetables,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,413,yes,gifted,Vegetables,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,414,yes,purchased,Vegetables,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,504,yes,ownproduced,Meat,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,505,yes,ownproduced,Meat,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,506,yes,ownproduced,Meat,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,508,yes,ownproduced,Meat,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,522,yes,purchased,Meat,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,601,yes,purchased,Fruits,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,605,yes,purchased,Fruits,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,608,yes,gifted,Fruits,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,704,yes,purchased,Fats & oils,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,706,yes,gifted,Milk & milk products,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,708,yes,ownproduced,Milk & milk products,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,802,yes,gifted,Miscellaneous,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,804,yes,gifted,Sugary foods/beverages,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,810,yes,purchased,Miscellaneous,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,811,yes,gifted,Miscellaneous,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,812,yes,gifted,Miscellaneous,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,813,yes,purchased,Miscellaneous,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,814,yes,gifted,Miscellaneous,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,817,yes,ownproduced,Sugary foods/beverages,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,818,yes,ownproduced,Miscellaneous,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,821,yes,gifted,Roots & tubers,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,822,yes,purchased,Roots & tubers,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,823,yes,purchased,Eggs,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,827,yes,gifted,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,829,yes,gifted,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,830,yes,purchased,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,836,yes,ownproduced,Cereals,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,838,yes,purchased,Roots & tubers,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,901,yes,purchased,Miscellaneous,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,905,yes,gifted,Fruits,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,906,yes,gifted,Sugary foods/beverages,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,911,yes,ownproduced,Miscellaneous,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,5022,yes,ownproduced,Fish,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,5023,yes,ownproduced,Fish,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,5031,yes,ownproduced,Fish,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,5032,yes,purchased,Fish,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,5121,yes,purchased,Fish,Mashonaland Central,Urban
cQUi-Qhgh-DAQT-f5Bw,5123,yes,gifted,Fish,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,101,yes,gifted,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,102,yes,purchased,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,103,yes,gifted,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,105,yes,ownproduced,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,108,yes,purchased,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,109,yes,gifted,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,110,yes,gifted,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,113,yes,purchased,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,115,yes,ownproduced,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,117,yes,purchased,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,118,yes,gifted,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,202,yes,ownproduced,Roots & tubers,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,203,yes,ownproduced,Roots & tubers,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,205,yes,purchased,Roots & tubers,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,207,yes,gifted,Roots & tubers,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,209,yes,gifted,Roots & tubers,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,302,yes,ownproduced,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,303,yes,gifted,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,305,yes,ownproduced,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,306,yes,ownproduced,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,307,yes,purchased,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,310,yes,ownproduced,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,312,yes,ownproduced,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,313,yes,ownproduced,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,401,yes,gifted,Vegetables,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,403,yes,purchased,Vegetables,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,405,yes,purchased,Vegetables,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,406,yes,gifted,Vegetables,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,408,yes,purchased,Vegetables,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,409,yes,purchased,Vegetables,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,412,yes,gifted,Vegetables,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,413,yes,ownproduced,Vegetables,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,414,yes,ownproduced,Vegetables,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,505,yes,ownproduced,Meat,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,507,yes,gifted,Meat,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,509,yes,ownproduced,Meat,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,510,yes,ownproduced,Meat,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,512,yes,ownproduced,Fish,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,603,yes,purchased,Fruits,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,605,yes,purchased,Fruits,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,607,yes,purchased,Fruits,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,608,yes,ownproduced,Fruits,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,609,yes,gifted,Fruits,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,610,yes,ownproduced,Fruits,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,702,yes,purchased,Milk & milk products,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,703,yes,ownproduced,Fats & oils,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,704,yes,purchased,Fats & oils,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,707,yes,gifted,Milk & milk products,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,709,yes,ownproduced,Milk & milk products,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,801,yes,purchased,Sugary foods/beverages,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,803,yes,purchased,Fats & oils,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,811,yes,gifted,Miscellaneous,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,813,yes,ownproduced,Miscellaneous,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,817,yes,purchased,Sugary foods/beverages,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,820,yes,purchased,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,821,yes,purchased,Roots & tubers,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,822,yes,gifted,Roots & tubers,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,824,yes,purchased,Meat,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,826,yes,gifted,Fish,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,827,yes,purchased,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,828,yes,ownproduced,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,831,yes,ownproduced,Roots & tubers,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,834,yes,gifted,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,836,yes,purchased,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,837,yes,purchased,Legumes & nuts,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,838,yes,gifted,Roots & tubers,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,902,yes,purchased,Miscellaneous,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,903,yes,ownproduced,Miscellaneous,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,904,yes,purchased,Sugary foods/beverages,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,909,yes,gifted,Miscellaneous,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,910,yes,purchased,Cereals,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,911,yes,ownproduced,Miscellaneous,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,915,yes,purchased,Miscellaneous,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,916,yes,gifted,Miscellaneous,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,5021,yes,gifted,Fish,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,5023,yes,purchased,Fish,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,5031,yes,ownproduced,Fish,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,5121,yes,gifted,Fish,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,5122,yes,ownproduced,Fish,Mashonaland Central,Urban
RQof-DVXZ-dZjY-mtZH,5123,yes,purchased,Fish,Mashonaland Central,Urban
0fc4-GqSJ-cxCm-gS55,103,yes,gifted,Cereals,Manicaland,Urban
0fc4-GqSJ-cxCm-gS55,106,yes,purchased,Cereals,Manicaland,Urban
0fc4-GqSJ-cxCm-gS55,112,yes,gifted,Cereals,Manicaland,Urban
0fc4-GqSJ-cxCm-gS55,113,yes,ownproduced,Cereals,Manicaland,Urban
0fc4-GqSJ-cxCm-gS55,114,yes,ownproduced,Cereals,Manicaland,Urban
0fc4-GqSJ-cxCm-gS55,118,yes,gifted,Cereals,Manicaland,Urban
0fc4-GqSJ-cxCm-gS55,202,yes,gifted,Roots & tubers,Manicaland,Urban
0fc4-GqSJ-cxCm-gS55,203,yes,gifted,Roots & tubers,Manicaland,Urban
0fc4-GqSJ-cxCm-gS55,208,yes,gifted,Roots & tubers,Manicaland,Urban
