interview__key,sdd_hhid,sdd_indid,hh_b01,hh_b02,hh_b03_1,hh_b03_2,hh_b04,hh_b05,hh_b06,hh_b07,hh_b08,hh_b09_1,hh_b0a,hh_b0b,hh_b10,hh_b11,hh_b12_1,hh_b12_2,hh_b13,hh_b14,hh_b15_1,hh_b15_2,hh_b16,hh_b17,hh_b18,hh_b19,hh_b20,hh_b21_1,hh_b21_2,hh_b21_3,hh_b21_4,hh_b22,hh_b23_1,hh_b23_2,hh_b23_3,hh_b23_4,hh_b24,hh_b25,hh_b26,hh_b27_2,hh_b27_3,hh_b28,hh_b29_2,hh_b29_3,y4_hhid
50-85-79-66,0003-001-001,8,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,14,GRANDCHILD,8,YES,31,YES,NO,2,0,STUDENT,DEAD,,6,MORE THAN SECONDARY,LIVING OUT OF THE HOUSEHOLD,,,SOME SECONDARY,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0003-001
50-85-79-66,0003-001-001,9,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,34,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,31,YES,YES,,0,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,SEPARATED,,,,,,,,,,,,,3,DAR ES SALAAM,TEMEKE,OTHER FAMILY REASONS,DODOMA,CHEMBA,0003-001
98-30-81-51,0004-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,35,HEAD,1,YES,31,YES,NO,2,0,EMPLOYED (NOT AG): WITHOUT EMPLOYEES,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,2,,,,NO,,6,DAR ES SALAAM,TEMEKE,BETTER SERVICES/HOUSING,MTWARA,NEWALA,0004-001
98-30-81-51,0004-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,29,SPOUSE,2,YES,31,YES,YES,,1,UNPAID FAMILY WORK,LIVING OUT OF THE HOUSEHOLD,,,MORE THAN SECONDARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,1,,,,NO,,6,DAR ES SALAAM,TEMEKE,BETTER SERVICES/HOUSING,DODOMA,KONDOA,0004-001
98-30-81-51,0004-001-001,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,10,SON/DAUGHTER,3,YES,31,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0004-001
98-30-81-51,0004-001-001,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,26,OTHER RELATIVE (SPECIFY),4,YES,31,YES,NO,2,0,EMPLOYED: PRIVATE SECTOR,LIVING OUT OF THE HOUSEHOLD,,,MORE THAN SECONDARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,NEVER MARRIED,,,,,,,,,,,,,6,DAR ES SALAAM,TEMEKE,OTHER FAMILY REASONS,DODOMA,KONDOA,0004-001
98-30-81-51,0004-001-001,5,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,4,SON/DAUGHTER,5,YES,31,YES,NO,2,1,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0004-001
71-75-12-39,0005-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,41,HEAD,1,YES,31,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,SOME PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,2,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0005-001
71-75-12-39,0005-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,35,SPOUSE,2,YES,31,YES,YES,,0,EMPLOYED (NOT AG): WITHOUT EMPLOYEES,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,SOME PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,1,,,,NO,,18,DODOMA,CHEMBA,MARRIAGE,DODOMA,CHEMBA,0005-001
71-75-12-39,0005-001-001,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,17,SON/DAUGHTER,3,YES,31,YES,YES,,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0005-001
71-75-12-39,0005-001-001,4,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,12,SON/DAUGHTER,4,YES,31,YES,YES,,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0005-001
71-75-12-39,0005-001-001,5,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,9,SON/DAUGHTER,5,YES,31,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0005-001
71-75-12-39,0005-001-001,7,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,5,SON/DAUGHTER,7,YES,31,YES,NO,2,0,NO JOB,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0005-001
98-53-45-06,0007-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,41,HEAD,1,YES,31,YES,NO,2,2,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,2,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0007-001
98-53-45-06,0007-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,32,SPOUSE,2,YES,31,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,1,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0007-001
98-53-45-06,0007-001-001,3,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,13,SON/DAUGHTER,3,YES,31,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0007-001
98-53-45-06,0007-001-001,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,11,SON/DAUGHTER,4,YES,31,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0007-001
98-53-45-06,0007-001-001,5,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,9,SON/DAUGHTER,5,YES,31,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0007-001
98-53-45-06,0007-001-001,6,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,4,SON/DAUGHTER,6,YES,31,YES,NO,2,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0007-001
98-53-45-06,0007-001-001,7,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,3,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,31,YES,NO,2,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0007-001
20-72-78-84,0009-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,66,HEAD,1,YES,30,YES,NO,2,0,AGRICULTURE/LIVESTOCK,DEAD,,20,NO SCHOOL,DEAD,,40,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,2,,,,NO,,55,DODOMA,KONDOA,BETTER SERVICES/HOUSING,DODOMA,KONDOA,0009-001
20-72-78-84,0009-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,59,SPOUSE,2,YES,30,YES,YES,,2,AGRICULTURE/LIVESTOCK,DEAD,,15,NO SCHOOL,DEAD,,48,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,1,,,,NO,,39,DODOMA,KONDOA,MARRIAGE,DODOMA,KONDOA,0009-001
20-72-78-84,0009-001-001,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,25,SON/DAUGHTER,3,NO,0,YES,NO,2,3,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0009-001
20-72-78-84,0009-001-001,4,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,25,SON/DAUGHTER,4,NO,0,YES,NO,2,3,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0009-001
20-72-78-84,0009-001-001,5,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,15,SON/DAUGHTER,5,YES,30,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0009-001
90-18-72-04,0010-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,52,HEAD,1,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,15,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,2,,,,NO,,24,DODOMA,MPWAPWA,LAND/PLOT,DODOMA,MPWAPWA,0010-001
90-18-72-04,0010-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,50,SPOUSE,2,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,40,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,1,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0010-001
85-64-65-42,0011-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,27,HEAD,1,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,LIVING TOGETHER,,,,,,YES,2,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0011-001
85-64-65-42,0011-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,19,SPOUSE,NOT PREVIOUSLY PRESENT,NO,25,YES,YES,,3,UNPAID FAMILY WORK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,LIVING TOGETHER,,,,,,YES,1,,,,NO,,1,MOROGORO,GAIRO,OTHER FAMILY REASONS,MOROGORO,GAIRO,0011-001
52-32-57-20,0012-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,56,HEAD,1,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,49,NO SCHOOL,DEAD,,43,NO SCHOOL,YES,MONOGAMOUS MARRIED,PREVIOUSLY DIVORCED,TRADITIONAL,,,,YES,2,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0012-001
52-32-57-20,0012-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,43,SPOUSE,2,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,32,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,MONOGAMOUS MARRIED,PREVIOUSLY DIVORCED,TRADITIONAL,,,,YES,1,,,,NO,,20,DODOMA,KONGWA,OTHER FAMILY REASONS,DODOMA,KONGWA,0012-001
52-32-57-20,0012-001-001,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,25,SON/DAUGHTER,3,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,12,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0012-001
52-32-57-20,0012-001-001,4,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,20,STEP SON/DAUGHTER,4,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0012-001
52-32-57-20,0012-001-001,8,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,10,GRANDCHILD,8,YES,30,YES,NO,1,0,STUDENT,DEAD,,3,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,NO,,,,,,,,,,,,,,,,,,,,0012-001
52-32-57-20,0012-001-001,9,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,9,SON/DAUGHTER,9,YES,30,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0012-001
52-32-57-20,0012-001-001,11,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,7,GRANDCHILD,11,YES,30,YES,NO,2,0,STUDENT,DEAD,,0,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,NO,,,,,,,,,,,,,,,,,,,,0012-001
52-32-57-20,0012-001-001,12,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,24,OTHER RELATIVE (SPECIFY),NOT PREVIOUSLY PRESENT,NO,30,YES,NO,1,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,3,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0012-001
52-32-57-20,0012-001-001,13,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,3,GRANDCHILD,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,3,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,3,,,MOTHER IS A MEMBER OF HOUSEHOLD,12,,,NO,,,,,,,,,,,,,,,,,,,,0012-001
52-32-57-20,0012-001-001,14,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,1,GRANDCHILD,NOT PREVIOUSLY PRESENT,NO,30,YES,NO,3,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,3,,,MOTHER IS A MEMBER OF HOUSEHOLD,12,,,NO,,,,,,,,,,,,,,,,,,,,0012-001
15-20-64-14,0012-001-010,1,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,26,HEAD,10,YES,30,YES,YES,,0,UNPAID FAMILY WORK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,SOME PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,NO,,,,,YES,,1,DODOMA,MPWAPWA,MARRIAGE,DODOMA,MPWAPWA,0012-001
31-30-77-11,0012-003-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,26,HEAD,1,YES,30,YES,YES,,2,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,LIVING TOGETHER,,,,,,YES,2,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0012-003
31-30-77-11,0012-003-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,24,SPOUSE,2,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,LIVING TOGETHER,,,,,,YES,1,,,,NO,,6,DODOMA,MPWAPWA,MARRIAGE,DODOMA,MPWAPWA,0012-003
31-30-77-11,0012-003-001,3,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,6,STEP SON/DAUGHTER,3,YES,30,YES,NO,1,0,UNPAID FAMILY WORK,LIVING OUT OF THE HOUSEHOLD,,,DOES NOT KNOW,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0012-003
31-30-77-11,0012-003-001,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,2,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,1,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0012-003
18-76-19-96,0013-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,74,HEAD,1,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,35,NO SCHOOL,DEAD,,60,NO SCHOOL,YES,DIVORCED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0013-001
58-42-71-45,0015-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,45,HEAD,1,YES,31,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,18,NO SCHOOL,DEAD,,26,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,2,,,,NO,,39,DODOMA,MPWAPWA,OTHER FAMILY REASONS,DODOMA,MPWAPWA,0015-001
58-42-71-45,0015-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,42,SPOUSE,2,YES,31,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,2,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,1,,,,NO,,24,DODOMA,MPWAPWA,MARRIAGE,DODOMA,MPWAPWA,0015-001
