"","food_ID","Food_Name","Food_Group","ENERCkcal","PROCNTg","FAT_g","FASATg","CHOCDFg","FIB_g","PHYTACmg","CAmg","CUmg","MNmg","MGmg","Kmg","NAmg","ZNmg","Pmg","FEmg"
"75","354","Potato, crisps, plain, salted","Roots, Tubers and Banana",547,6.6,"37.5",11,"49.7",4.4,147,19,0.1,0.2,34,732,216,"0.4",93,0.8
"76","353","Potato, English, cooked","Roots, Tubers and Banana",93,2,"0.1",0,"21.6",1.5,81,5,0.2,0.2,25,391,5,"0.3",50,0.4
"77","355","Potato, raw, with skin","Roots, Tubers and Banana",58,2.6,"0.1",0,"12.4",2.5,147,30,0.4,0.6,23,413,10,"0.4",38,3.2
"78","357","Squash, fresh-AP","Roots, Tubers and Banana",16,0.7,"0.2",0.1,"3.4",1.1,0,22,0.1,0.2,19,154,1,"0.3",31,0.3
"79","366","Squash, fresh-EP","Roots, Tubers and Banana",20,0.9,"0.3",0.1,"4.3",1.4,0,27,0.1,0.2,24,192,1,"0.4",39,0.4
"80","360","Sweet potato, fresh-AP","Roots, Tubers and Banana",74,1.2,"0.1",0,"17.5",2.2,7,20,0.2,4,14,251,7,"0.2",40,0.4
"81","361","Sweet potato, fresh-EP","Roots, Tubers and Banana",103,1.7,"0.1",0,"24.3",3,10,28,0.2,0.6,20,348,10,"0.3",55,0.5
"82","369","Sweet potato, orange","Roots, Tubers and Banana",103,1.7,"0.1",0,"24.3",3,10,28,0.21,0.56,20,348,10,"0.3",55,0.5
"83","356","Taro, raw","Roots, Tubers and Banana",112,1.5,"0.2",0,"26.5",4.1,78,43,0.2,0.4,33,591,11,"0.2",84,0.1
"84","368","Yam, raw","Roots, Tubers and Banana",97,2.1,"0.1",0,"22.9",1.2,50,8,0.17,0.24,26,303,3,"0.5",39,0.8
"85","974","Banana porridge, plain","Roots, Tubers and Banana-based local dishes",105.3,0.6,"3.2",2.7,"21.3",1.6,0.3,2.2,0.1,0.1,22.2,326.1,68.5,"0.1",20.8,0.4
"86","975","Banana porridge with meat","Roots, Tubers and Banana-based local dishes",280.5,7,"16",98.9,"29.5",98.1,190.6,6.1,0.1,0.2,30.7,455.1,50,"1",74.4,1
"87","976","Banana porridge with fish","Roots, Tubers and Banana-based local dishes",118.7,2.5,"5.9",4.9,"15.8",2.1,5.4,10.6,0.2,0.5,41.5,588.1,123.7,"1.3",96.6,1.5
"88","977","Banana porridge with meat and spinach","Roots, Tubers and Banana-based local dishes",212,8.6,"13.3",8.5,"16.5",1.6,0.3,20.5,0.1,0.2,34.6,405.5,127.1,"1.4",82.8,1.3
"89","954","Banana with cashewnut","Roots, Tubers and Banana-based local dishes",108,2,"2.8",0.3,"22.2",2.1,1.8,15.1,0.1,0.2,36.7,355.6,4.1,"0.2",45.9,0.6
"90","955","Banana with coconut milk","Roots, Tubers and Banana-based local dishes",191.2,1.5,"10.7",9.4,"26.1",4.4,14.6,6.7,0,0.1,34.3,149.9,2.3,"0.1",62.7,0.2
"91","968","Banana with kidney beans","Roots, Tubers and Banana-based local dishes",93.4,3,"1.2",0.9,"19.5",3.2,64.9,15.1,0.1,0.2,27.2,324.2,434.7,"0.4",55.7,1.1
"92","953","Banana with meat","Roots, Tubers and Banana-based local dishes",77.4,2.7,"3.6",2.3,"9.4",0.7,0,1.6,0,0.1,11.4,168.9,118.8,"0.3",226,0.3
"93","952","Banana with meat and coconut milk","Roots, Tubers and Banana-based local dishes",130.3,1.5,"2.4",1.8,"2.9",2.5,0,3,0.1,0.2,31,449.8,7,"0.2",36.1,0.7
"94","973","Banana with meat, oil and vegetable","Roots, Tubers and Banana-based local dishes",121.8,4,"8",5.9,"9.8000000000000007",1.7,0,2.5,0.1,0.1,25.3,374.6,4.7,"0.1",24.2,0.5
"95","951","Banana with oil (no meat )","Roots, Tubers and Banana-based local dishes",112,0.7,"2.7",2.3,"24",1.9,129.1,3.8,0.1,0.2,15.7,216.7,104.4,"0.7",48.6,0.7
"96","969","Banana, boiled","Roots, Tubers and Banana-based local dishes",110,0.7,"0.2",0.1,"29.6",2.2,121.8,2,0.1,0.2,32,465,5,"0.1",28,0.6
"97","964","Banana, fried","Roots, Tubers and Banana-based local dishes",159.1,0.8,"5.2",4.4,"31.2",2.3,0,2,0.1,0.2,32,465,5,"0.1",28,0.6
"98","971","Banana, roast","Roots, Tubers and Banana-based local dishes",116,0,"0",31.2,"0.2",0,40.4,2,0.1,0.2,32,465,5,"0.1",28,0.6
"99","541","Cassava porridge with sugar","Roots, Tubers and Banana-based local dishes",85.8,0.4,"0.1",0,"21.5",0.5,85.6,7,0,0,3.6,87.7,0.9,"0.1",25.4,0.3
"100","526","Cassava stiff porridge","Roots, Tubers and Banana-based local dishes",140,2.7,"1.2",0.2,"30.7",2.6,253,6.4,0.1,0.2,40.5,144.4,11,"0.6",89.1,1.2
"101","956","Cassava with coconut milk","Roots, Tubers and Banana-based local dishes",216.3,1.9,"11.9",10.3,"12.9",5.5,151.1,18.2,0.2,0.6,18.8,297.2,8.4,"0.6",89.3,1.4
"102","965","Cassava, boiled","Roots, Tubers and Banana-based local dishes",131,1.1,"0.3",0.1,"31.9",1.5,54,19,0.1,0.1,10,243,2,"0.3",70,0.8
"103","957","Cassava, fried","Roots, Tubers and Banana-based local dishes",346.5,1.1,"25.2",21.6,"10.5",3.3,54,19,0.1,0.1,10,243,2,"0.3",70,0.8
"104","978","Kachori (spicy potato balls)","Roots, Tubers and Banana-based local dishes",237.6,6.1,"11.4",8.8,"28.8",3.4,248.4,39.7,0.4,0.8,50.4,492.7,86,"1.2",148.8,2.2
"105","960","Potato chips, fried","Roots, Tubers and Banana-based local dishes",249,1.7,"20.100000000000001",17.3,"18",1.2,67.5,4.2,0.2,0.2,20.8,325.8,4.2,"0.2",41.7,0.3
"106","959","Potato relish with beef","Roots, Tubers and Banana-based local dishes",128.8,2.8,"5.8",4.9,"17.100000000000001",2.1,17.5,15,0.3,0.3,35,574,11,"0.4",75,0.8
"107","972","Potato relish with coconut milk","Roots, Tubers and Banana-based local dishes",388,4.7,"28",24.7,"34.200000000000003",9,81,16.7,0.6,1.4,51.7,687.7,21.7,"1.2",144,2.4
"108","958","Potato relish with oil","Roots, Tubers and Banana-based local dishes",75,1.3,"1.7",0,"14.2",1,391.5,3.5,0.1,0.1,16.8,266.5,3.8,"0.2",3.4,0.2
"109","961","Potato, boiled","Roots, Tubers and Banana-based local dishes",93,2,"0.1",0,"21.6",1.5,52.6,5,0.2,0.2,25,391,5,"0.3",50,0.4
"110","963","Roots and tubers mixed","Roots, Tubers and Banana-based local dishes",93.5,0.8,"0.2",0.1,"23.2",1.7,93.8,13.1,0,0.1,10,202.8,4,"0.2",27.6,0.4
"111","967","Sweet potato, boiled","Roots, Tubers and Banana-based local dishes",97,2.1,"0.1",0,"22.9",1.2,50,8,0.2,0.2,26,303,3,"0.5",39,0.8
"112","966","Sweet potato, fried","Roots, Tubers and Banana-based local dishes",146.1,1.7,"5.0999999999999996",4.3,"24.3",3,10,28,0.2,0.6,20,348,10,"0.3",55,0.5
"113","970","Taro, cooked, without salt","Roots, Tubers and Banana-based local dishes",142,0.5,"0.1",0,"34.6",5.1,78,18,0.2,0.4,30,484,15,"0.3",76,0.7
"114","179","Almonds","Pulses, Nuts and Seeds",578,21.2,"50.6",3.9,"19.7",11.8,2580,248,1.1,2.5,275,7.3,1,"3.4",4.7,4.3
"115","151","Bambara groundnut, fresh","Pulses, Nuts and Seeds",141,12.4,"6.4",0.7,"11.1",4.2,270,145,0.1,0.5,60,539,14,"0.9",158,2.5
"116","154","Bean, kidney, green, cooked","Pulses, Nuts and Seeds",166,11.4,"0.7",0.1,"29.9",8.4,808,37,0.3,0.6,59,528,3,"1.4",186,3.8
"117","155","Bean, mung, dry","Pulses, Nuts and Seeds",116,7.7,"0.5",0.1,"20.8",6.5,358,24,0.3,0.5,53,278,4,"1.3",156,2.5
"118","156","Bean, mung, raw","Pulses, Nuts and Seeds",306,20.3,"1.3",0.3,"54.9",17.2,945,63,0.7,1.3,140,734,11,"3.4",412,6.6
"119","153","Beans, kidney, mature, boiled without salt","Pulses, Nuts and Seeds",127,8.7,"0.5",0.1,"22.8",6.4,617,28,0.2,0.5,45,403,2,"1.1000000000000001",142,2.9
"120","170","Beans, kidney, mature seeds, raw","Pulses, Nuts and Seeds",333,23.6,"0.8",0.1,"60",24.9,1586,72,0.6,1.2,116,1036,5,"2.8",365,7.5
"121","157","Cashewnut","Pulses, Nuts and Seeds",589,20,"52.2",4.9,"20.399999999999999",10.9,2580,266,0.9,2.3,296,732,11,"2.9",520,3.7
"122","158","Chickpea","Pulses, Nuts and Seeds",164,8.9,"2.6",0.3,"27.4",7.5,293,49,0.4,1,48,291,7,"1.5",168,2.9
"123","159","Chickpea flour (besan)","Pulses, Nuts and Seeds",387,22.4,"6.7",0.7,"57.8",10.8,938,157,1.1,3.3,154,931,22,"4.8",538,9.3
"124","162","Cowpea, green, uncooked","Pulses, Nuts and Seeds",116,7.7,"0.5",0.1,"20.8",6.5,358,24,0.3,0.5,53,278,4,"1.3",156,2.5
"125","163","Cowpea, uncooked","Pulses, Nuts and Seeds",336,23.5,"1.3",0.3,"60",10.6,945,63,0.7,1.3,140,734,11,"3.4",412,6.6
"126","173","Hyancinth beans (dried)","Pulses, Nuts and Seeds",306,20.3,"1.3",0.3,"54.9",17.2,945,50,0.7,1.3,140,734,11,"3.4",412,6.6
"127","174","Hyacinth-beans, immature, raw","Pulses, Nuts and Seeds",46,2.1,"0.2",0.1,"9.1999999999999993",7.8,20,50,0,0.2,40,252,2,"0.4",49,0.7
"128","176","Hyacinth-beans, immature, boiled without salt","Pulses, Nuts and Seeds",50,3,"0.3",0.1,"9.1999999999999993",3.9,20,41,0,0.2,42,262,2,"0.4",49,0.8
"129","177","Lentil, cooked","Pulses, Nuts and Seeds",116,9,"0.4",0.1,"20.100000000000001",7.9,358,51,0.67,1.31,96,989,5,"3.5",482,8.8
"130","180","Lentil, whole","Pulses, Nuts and Seeds",311,24.1,"1.1000000000000001",0.3,"53.9",21.2,959,8,0.17,0.24,26,303,3,"0.5",39,0.8
"131","175","Palm seed","Pulses, Nuts and Seeds",203,0.6,"20.2",16.3,"6.7",1.7,8,3,0.1,0.2,12,61,0,"0.1",14,0.2
"132","164","Groundnuts","Pulses, Nuts and Seeds",567,25.8,"49.2",6.8,"16.100000000000001",8.5,1760,92,1.1,1.9,168,705,18,"3.3",376,4.6
"133","178","Peanut butter, smooth","Pulses, Nuts and Seeds",520,25.9,"34",7.4,"35.700000000000003",5.2,1600,35,0.6,0.1,170,669,540,"2.8",369,1.9
"134","165","Pigeon peas, cooked","Pulses, Nuts and Seeds",121,6.7,"0.4",0.1,"19.7",5.4,398,36,0.3,0.4,43,268,5,"1",125,1.5
"135","166","Pigeon peas, green","Pulses, Nuts and Seeds",148,9.5,"0.4",0,"27.5",9.7,49,48,0.3,0.9,69,477,5,"2.1",206,2.6
"136","171","Pigeon peas, raw","Pulses, Nuts and Seeds",343,21.7,"1.5",0.3,"62.8",15,1154,104,0.8,1.2,125,777,15,"2.9",363,4.4
"137","172","Pumpkin seed","Pulses, Nuts and Seeds",435,19.5,"40.6",5.7,"7",7.5,3818,97,1.1,1.1,257,301,30,"7.6",574,5.8
"138","167","Sesame seed","Pulses, Nuts and Seeds",573,17.7,"49.7",7,"23.5",16.9,4710,975,4.1,2.5,351,468,11,"7.8",629,14.6
"139","168","Soybean, yellow","Pulses, Nuts and Seeds",415,36.5,"20",3,"30.3",9.3,1473,278,1.7,2.5,280,1798,3,"5",705,15.8
"140","169","Sunflower seed","Pulses, Nuts and Seeds",588,26.4,"54.8",7.7,"9.4",10.1,5160,131,1.5,1.4,347,407,40,"10.3",776,7.8
"141","663","Bambara nut relish with coconut milk","Pulses, Nuts and Seeds-based local dishes",127,4.2,"10.199999999999999",7.5,"6.7",2.9,130.1,44.2,0.1,0.4,24.3,254.3,116.6,"0.5",68,1.2
"142","32","Bhajia (chickpea flour fritters)","Pulses, Nuts and Seeds-based local dishes",356,19.2,"5.6",0.68,"59.7",16.3,628,107.6,0.7,2.2,104.6,649,15.2,"3.2",363.8,6.3
"143","664","Chick pea relish with coconut milk","Pulses, Nuts and Seeds-based local dishes",144.2,4,"8.9",7.2,"13.7",4.9,181.8,21.6,0.2,0.7,25.1,193.7,99.6,"0.8",88,1.6
"144","653","Cow pea (dry) relish without oil","Pulses, Nuts and Seeds-based local dishes",59.5,0.5,"5.85",5,"2.2000000000000002",0.9,358,24,0.3,0.5,53,278,4,"1.3",156,2.5
"145","654","Cow pea (dry) relish with oil","Pulses, Nuts and Seeds-based local dishes",154.7,7.3,"6.3",5.2,"18.899999999999999",3.5,264.3,20.1,0,0.1,275.3,364.4,2,"0.2",122.7,0
"146","651","Cow pea (fresh) relish without oil","Pulses, Nuts and Seeds-based local dishes",71.5,4.6,"0.4",0.1,"13",4,208.8,14.9,0.2,0.3,32.9,205.6,4.1,"0.8",95.3,1.6
"147","652","Cow pea relish with coconut milk","Pulses, Nuts and Seeds-based local dishes",120.4,7.4,"1.8",1.3,"19.7",3.5,335.3,22,0.3,0.6,47.5,283.1,53.1,"1.2",143,2.4
"148","657","Kidney bean relish without oil","Pulses, Nuts and Seeds-based local dishes",117.2,6.4,"2.9",2.2,"17.100000000000001",4.8,352,18.7,0.1,0.3,28.7,261.2,1.4,"0.7",90.8,1.8
"149","656","Kidney bean relish with oil","Pulses, Nuts and Seeds-based local dishes",130.6,4.9,"6.9",5.8,"13.3",3.6,385.6,20.9,0.2,0.3,33.4,314.2,2.2,"0.8",104.2,2.1
"150","655","Kidney bean relish with coconut milk","Pulses, Nuts and Seeds-based local dishes",83.2,2.8,"4.8",4.2,"8.1",2.2,184.9,14.5,0.7,1.1,23.5,275.5,117.2,"1.1000000000000001",71.8,2.1
"151","662","Mung bean (dry) relish with cocount milk","Pulses, Nuts and Seeds-based local dishes",87.2,2.4,"5.3",4.6,"8.6999999999999993",2.9,119.4,10,0.1,0.2,19.5,107.9,278.2,"0.5",57.5,0.9
"152","658","Mung bean (dry, boiled)","Pulses, Nuts and Seeds-based local dishes",43.7,2.8,"0.2",0,"8",2.4,108.7,6,0.1,0.1,13,70,1,"0.3",39,0.6
"153","659","Pigeon pea (fresh, cooked)","Pulses, Nuts and Seeds-based local dishes",131,6.1,"5.0999999999999996",4.2,"16.100000000000001",4.4,318.4,29.7,0.2,0.3,34.8,220.4,81.6,"0.8",101.3,1.2
"154","660","Pigeon pea relish with coconut milk","Pulses, Nuts and Seeds-based local dishes",114,3.4,"7.2",6.3,"10.4",3.8,211.3,16.1,0.2,0.5,22.3,172.7,6,"0.6",69.1,1
"155","661","Pigeon pea relish with oil","Pulses, Nuts and Seeds-based local dishes",245,13.8,"5.8",4.5,"36.299999999999997",9.9,721,66.3,0.5,0.8,78.8,494.9,9.6,"1.8",228.9,2.8
